ct,name,folder_name,full_name,visible
1,iguchi,00_iguchi,井口眞緒,TRUE
2,ushio,01_ushio,潮紗理菜,TRUE
3,kakizaki,02_kakizaki,柿崎芽実,FALSE
4,kageyama,03_kageyama,影山優佳,TRUE
5,kato,04_kato,加藤史帆,TRUE
6,saito,05_saito,齊藤京子,TRUE
7,sasaki_k,06_sasaki_k,佐々木久美,TRUE
8,sasaki_m,07_sasaki_m,佐々木美玲,TRUE
9,takase,08_takase,高瀬愛奈,TRUE
10,takamoto,09_takamoto,高本彩花,TRUE
11,higashimura,10_higashimura,東村芽依,TRUE
12,kanemura,11_kanemura,金村美玖,TRUE
13,kawata,12_kawata,河田陽菜,TRUE
14,kosaka,13_kosaka,小坂菜緒,TRUE
15,tomita,14_tomita,富田鈴花,TRUE
16,nibu,15_nibu,丹生明里,TRUE
17,hamagishi,16_hamagishi,濱岸ひより,TRUE
18,matsuda,17_matsuda,松田好花,TRUE
19,miyata,18_miyata,宮田愛萌,TRUE
20,watanabe,19_watanabe,渡邉美穂,TRUE
21,kamimura,20_kamimura,上村ひなの,TRUE
